buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount
4456,"JEU D'EAU DU PARC OVILA-LÉGARÉ","Rue  51e , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLERAY/ST-MICHEL/PARC-EXTENS",1980,34.64,0,34.64,,,
4457,"JEU D'EAU DU PARC AHUNTSIC","Rue  Lajeunesse , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","AHUNTSIC / CARTIERVILLE",2008,214.9,0,214.9,,,
4458,"REMISE JARDIN COM. PARC LUCIE-BRUNEAU","Avenue de l' Alsace (ANJ) , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Abri fermé","ANJOU",2001,14.86,0,14.86,1,,
4459,"ABRI TOILETTE JARDIN COM. PARC LUCIE-B.","Avenue de l' Alsace (ANJ) , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Abri fermé","ANJOU",2001,7.43,0,7.43,1,,
4460,"JEU D'EAU DU PARC DES FAUBOURGS","Rue  Dorion , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",2005,74.33,74.33,74.33,,,
4461,"ABRI ANNONCEUR DU PARC SAUVÉ","Avenue  Éthier (MTN) , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Abri fermé","MONTRÉAL-NORD",1976,35,0,35,2,,
4462,"REMISE DU PARC AIMÉ-LÉONARD","Boulevard  Gouin , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri fermé","MONTRÉAL-NORD",,10,0,10,1,,
4464,"ABRI OUVERT DU PARC LHASA-DE-SELA","Rue  Clark , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri ouvert","PLATEAU MONT-ROYAL",2004,60.07,60.07,60.07,1,,
4465,"ABRI FERMÉ DU PARC LHASA-DE-SELA","5900 Rue  Clark , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Abri fermé","PLATEAU MONT-ROYAL",1996,8.82,8.82,7.56,1,,
4466,"ABRI ANNEXE SERRE/PÉPINIÈRE","6025 Boulevard  Métropolitain (SLN) , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Serre de service et production","SAINT-LÉONARD",,65,65,65,1,,
4467,"ABRI OUVERT DU PARC COUSINEAU","Avenue  O'Brien (SLR) , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri ouvert","SAINT-LAURENT",,66,66,66,,,
4468,"STATION PLUVIALE ROXBORO","33 Avenue  5e (ROX) N, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (égouts)","PIERREFONDS/ROXBORO",,50.2,50.2,50.2,1,,
4470,"LES TOILETTES SÈCHES (16)","Chemin du Cap-Saint-Jacques (PFD) , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri fermé","PIERREFONDS/ROXBORO",,2.1,0,2.1,1,,
4472,"ÉCOLE ENFANT SOLEIL","1615 Rue  Tassé (SLR) , Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","SAINT-LAURENT",,4010,4010,4010,2,1,
4476,"PARC BOURBONNIÈRE - ABRI OUVERT","2800 Rue  Cazeneuve (SLR) , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Abri ouvert","SAINT-LAURENT",,41,41,41,,,
4478,"SALLE MÉC. PISC. PARC ROGER-ROUSSEAU","7501 Avenue  Rondeau (ANJ) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de chloration","ANJOU",2010,80.26,0,69.52,1,0,
4480,"TOILETTE PUBLIQUE PARC PILON","Avenue des Récollets (MTN) , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Entrepôt non-chauffé","MONTRÉAL-NORD",,9.3,0,9.3,1,,
4481,"MUNICIPAL - ENTREPÔTS (PORTES 5,6,7)","350 Montée de l' Église (IBZ) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Garage TP/Parcs/Imm./Ent.méc.","L'ÎLE-BIZARD / STE-GENEVIÈVE",1981,280.31,0,280.31,1,,
4482,"TOILETTE PUBLIQUE DU PARC OTTAWA","Avenue  Lausanne (MTN) , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Abri fermé","MONTRÉAL-NORD",2009,14.89,14.89,14.89,1,,
4483,"CHALET PARC DE L'ESPLANADE POINTE-NORD","205 Rue de la Rotonde , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","VERDUN",2012,303.72,303.72,275.5,,,
4485,"CENTRE COMPOSTAGE ST-LAURENT","9091 Boulevard  Henri-Bourassa O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Centre de tri / déchetteries","SAINT-LAURENT",,1,1,1,,,
4488,"STATION DE POMPAGE EAUX USÉES SLR","5225 Boulevard de la Côte-Vertu (SLR) , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Station de pompage (égouts)","SAINT-LAURENT",,8,0,8,,,
4489,"JEU D'EAU DU PARC NELSON-MANDELA","4920 Rue  Vézina , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","COTE-DES-NEIGES / N-D-DE-GRACE",2012,188.5,0,188.5,0,,
4490,"JEU D'EAU DU PARC BENNY","6445 Avenue de Monkland , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","COTE-DES-NEIGES / N-D-DE-GRACE",2011,537,0,537,0,,
4491,"LOCATION / ANTENNES RADIOCOM. ""SÉRAM""","2080 Avenue  Harvard , Montréal","LOCATAIRE","Installation externe","Industriel","Station télécom","COTE-DES-NEIGES / N-D-DE-GRACE",,4,0,4,,,
4492,"LOCATION/ANT. RADIOCOM.''SÉRAM'' LAVAL","1 Place  Bellerive (SGV) , Laval","LOCATAIRE","Installation externe","Commercial","Station télécom","Hors de Montréal",,1,0,1,,,
